date,qjd_close,gm_close
2016-05-09,12.9,12.41
2016-05-10,12.91,13.13
2016-05-11,13.04,12.85
2016-05-12,12.98,12.84
2016-05-13,13.09,12.36
2016-05-16,13.19,12.37
2016-05-17,13.95,12.29
2016-05-18,13.5,12.15
2016-05-19,13.45,12.05
2016-05-20,13.52,12.15
2016-05-23,13.54,12.43
2016-05-24,13.54,11.85
2016-05-25,13.39,11.69
2016-05-26,13.26,11.62
2016-05-27,13.32,11.47
2016-05-30,13.25,11.35
2016-05-31,13.62,11.91
2016-06-01,13.76,11.82
2016-06-02,13.82,11.87
2016-06-03,13.84,12.58
2016-06-06,13.82,12.42
2016-06-07,13.89,12.49
2016-06-08,14.0,12.22
2016-06-13,13.2,11.81
2016-06-14,13.23,11.68
2016-06-15,13.48,12.09
2016-06-16,13.36,12.1
2016-06-17,13.46,12.56
2016-06-20,13.48,12.45
2016-06-21,13.43,12.08
2016-06-22,13.54,12.13
2016-06-23,13.68,12.0
2016-06-24,13.52,11.97
2016-06-27,13.73,12.25
2016-06-28,13.94,12.28
2016-06-29,13.84,12.43
2016-06-30,13.9,12.49
2016-07-01,13.88,12.42
2016-07-04,14.02,12.77
2016-07-05,14.01,12.91
2016-07-06,14.22,13.26
2016-07-07,14.29,13.32
2016-07-08,14.34,13.3
2016-07-11,15.77,13.72
2016-07-12,15.55,14.35
2016-07-13,15.38,14.14
2016-07-14,15.52,13.87
2016-07-15,15.13,13.72
2016-07-18,15.19,13.63
2016-07-19,15.14,13.52
2016-07-20,15.11,13.59
2016-07-21,15.11,13.68
2016-07-22,14.84,13.39
2016-07-25,14.84,13.55
2016-07-26,15.07,13.96
2016-07-27,14.71,13.61
2016-07-28,14.55,14.42
2016-07-29,14.67,14.27
2016-08-01,14.21,13.79
2016-08-02,14.33,14.35
2016-08-03,14.55,14.3
2016-08-04,14.53,14.11
2016-08-05,14.53,14.43
2016-08-08,14.72,14.92
2016-08-09,14.72,14.93
2016-08-10,14.6,14.62
2016-08-11,14.86,14.44
2016-08-12,14.9,14.62
2016-08-15,15.07,14.77
2016-08-16,15.11,14.61
2016-08-17,15.18,14.52
2016-08-18,15.0,14.81
2016-08-19,15.11,14.68
2016-08-22,14.83,15.32
2016-08-23,14.82,15.04
2016-08-24,14.67,14.68
2016-08-25,14.52,14.51
2016-08-26,14.71,14.48
2016-08-29,14.67,14.05
2016-08-30,14.74,13.97
2016-08-31,14.77,14.15
2016-09-01,14.78,14.11
2016-09-02,14.58,14.09
2016-09-05,14.97,14.05
2016-09-06,15.13,14.11
2016-09-07,15.01,14.04
2016-09-08,15.09,13.88
2016-09-09,14.82,13.74
2016-09-12,14.38,13.51
2016-09-13,14.44,13.57
2016-09-14,14.54,13.56
2016-09-19,14.62,13.83
2016-09-20,14.56,13.75
2016-09-21,14.58,13.86
2016-09-22,14.83,14.04
2016-09-23,15.04,14.12
2016-09-26,14.73,13.75
2016-09-27,14.77,13.77
2016-09-28,14.92,13.7
2016-09-29,14.89,13.81
2016-09-30,14.89,13.83
2016-10-10,15.15,14.04
2016-10-11,15.18,14.06
2016-10-12,15.31,14.14
2016-10-13,15.11,13.98
2016-10-14,15.06,13.98
2016-10-17,14.87,13.83
2016-10-18,15.06,13.82
2016-10-19,15.08,13.71
2016-10-20,15.15,13.73
2016-10-21,15.01,13.67
2016-10-24,15.21,13.78
2016-10-25,15.25,13.76
2016-10-26,15.18,13.96
2016-10-27,15.37,13.89
2016-10-28,15.09,13.96
2016-10-31,15.04,14.24
2016-11-01,15.18,14.25
2016-11-02,15.18,14.06
2016-11-03,15.2,14.1
2016-11-04,15.27,13.96
2016-11-07,15.92,13.85
2016-11-08,15.72,13.86
2016-11-09,15.38,13.81
2016-11-10,15.53,13.89
2016-11-11,15.77,13.89
2016-11-14,15.63,13.82
2016-11-15,15.67,13.85
2016-11-16,15.73,13.82
2016-11-17,15.57,13.82
2016-11-18,15.54,13.74
2016-11-21,15.65,13.78
2016-11-22,15.78,13.87
2016-11-23,15.53,13.9
2016-11-24,15.43,14.13
2016-11-25,15.52,13.96
2016-11-28,15.48,13.94
2016-11-29,15.45,14.19
2016-11-30,15.52,13.84
2016-12-01,15.57,13.84
2016-12-02,14.97,13.68
2016-12-05,14.77,13.63
2016-12-06,14.8,13.63
2016-12-07,14.96,13.67
2016-12-08,15.33,13.56
2016-12-09,15.76,13.53
2016-12-12,14.99,12.77
2016-12-13,15.08,12.77
2016-12-14,15.08,12.66
2016-12-15,15.65,12.59
2016-12-16,15.72,12.78
2016-12-19,16.01,12.78
2016-12-20,15.86,12.74
2016-12-21,16.0,12.75
2016-12-22,16.43,12.86
2016-12-23,15.87,12.71
2016-12-26,15.78,12.73
2016-12-27,15.82,12.83
2016-12-28,15.75,12.81
2016-12-29,15.82,12.72
2016-12-30,15.61,12.86
